proteome mcrA_genes hsp70_genes
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_01.fasta 0 4
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_02.fasta 0 2
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_03.fasta 1 3
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_04.fasta 0 4
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_05.fasta 1 2
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_06.fasta 0 0
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_07.fasta 1 2
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_08.fasta 0 5
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_09.fasta 0 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_10.fasta 0 3
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_11.fasta 0 6
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_12.fasta 0 6
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_13.fasta 0 3
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_14.fasta 0 2
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_15.fasta 1 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_16.fasta 1 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_17.fasta 0 4
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_18.fasta 0 8
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_19.fasta 2 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_20.fasta 0 3
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_21.fasta 0 5
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_22.fasta 0 9
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_23.fasta 2 2
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_24.fasta 1 2
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_25.fasta 0 5
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_26.fasta 0 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_27.fasta 0 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_28.fasta 0 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_29.fasta 1 0
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_30.fasta 0 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_31.fasta 0 7
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_32.fasta 0 4
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_33.fasta 0 0
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_34.fasta 0 2
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_35.fasta 0 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_36.fasta 0 3
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_37.fasta 0 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_38.fasta 1 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_39.fasta 1 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_40.fasta 0 2
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_41.fasta 0 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_42.fasta 1 3
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_43.fasta 0 3
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_44.fasta 1 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_45.fasta 1 3
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_46.fasta 0 2
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_47.fasta 0 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_48.fasta 1 1
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_49.fasta 0 3
/afs/crc.nd.edu/user/h/hgordon2/Private/bin/IB20_Bioinformatics/proteomes/proteome_50.fasta 1 3
