Proteome # ,  hsp Matches , mcrA Matches
Proteome 01  ,  4  ,  0
Proteome 02  ,  2  ,  0
Proteome 03  ,  3  ,  1
Proteome 04  ,  4  ,  0
Proteome 05  ,  2  ,  1
Proteome 06  ,  0  ,  0
Proteome 07  ,  2  ,  1
Proteome 08  ,  5  ,  0
Proteome 09  ,  1  ,  0
Proteome 10  ,  3  ,  0
Proteome 11  ,  6  ,  0
Proteome 12  ,  6  ,  0
Proteome 13  ,  3  ,  0
Proteome 14  ,  2  ,  0
Proteome 15  ,  1  ,  1
Proteome 16  ,  1  ,  1
Proteome 17  ,  4  ,  0
Proteome 18  ,  8  ,  0
Proteome 19  ,  1  ,  2
Proteome 20  ,  3  ,  0
Proteome 21  ,  0  ,  0
Proteome 22  ,  0  ,  0
Proteome 23  ,  2  ,  2
Proteome 24  ,  2  ,  1
Proteome 25  ,  0  ,  0
Proteome 26  ,  1  ,  0
Proteome 27  ,  1  ,  0
Proteome 28  ,  1  ,  0
Proteome 29  ,  0  ,  1
Proteome 30  ,  1  ,  0
Proteome 31  ,  7  ,  0
Proteome 32  ,  4  ,  0
Proteome 33  ,  0  ,  0
Proteome 34  ,  2  ,  0
Proteome 35  ,  1  ,  0
Proteome 36  ,  3  ,  0
Proteome 37  ,  1  ,  0
Proteome 38  ,  1  ,  1
Proteome 39  ,  1  ,  1
Proteome 40  ,  2  ,  0
Proteome 41  ,  1  ,  0
Proteome 42  ,  3  ,  1
Proteome 43  ,  3  ,  0
Proteome 44  ,  1  ,  1
Proteome 45  ,  3  ,  1
Proteome 46  ,  2  ,  0
Proteome 47  ,  1  ,  0
Proteome 48  ,  1  ,  1
Proteome 49  ,  3  ,  0
Proteome 50  ,  3  ,  1
